"firm","comp","age","education","background","tenure","ceo.years","market.val","profits","sales","own.stake","USborn","birth"
"AdvM",1948,55,1,1,23,23,7.599999905,145,1227,0.550000012,1,"chicago"
"aetna",809,59,1,2,38,0.5,0.400000006,505,19196,0.01,1,"chicago"
"aller",721,53,2,1,26,0.5,1.5,-60,839,0.100000001,1,"oakland"
"amer",2027,62,2,2,25,5,3.400000095,806,8379,0.039999999,0,"vertx"
"ameri",2094,63,1,3,41,8,5.900000095,1166,10818,0.039999999,1,"bigrun"
"anchor",570,60,1,4,3,3,0.200000003,49,804,0.209999993,1,"philie"
"atlan",1833,63,2,3,36,7,6.300000191,709,17037,0.039999999,1,"castor"
"avery",1126,64,1,3,28,14,3.400000095,63,2545,0.209999993,1,"hartford"
"bally",1300,50,2,5,2,2,8.699999809,-35,1412,4.260000229,1,"boston"
"boise",668,62,2,3,35,20,2.299999952,-80,3950,0.270000011,1,"belling"
"bruns",1082,61,0,6,35,10,9.300000191,-24,2088,0.620000005,1,"west all"
"carol",597,57,2,5,27,13,1.399999976,377,2686,0.029999999,1,"jackson"
"catap",554,58,2,6,36,2,0.899999976,-404,10182,0.02,1,"tipp"
"coca",4657,60,1,1,38,11,316.1000061,1618,11572,0.589999974,0,"cuba"
"cocaen",750,59,0,3,13,0.5,127.9000015,-82,4051,7.510000229,1,"chata"
"consol",453,64,2,3,40,26,54.5,91,872,3.140000105,1,"milwau"
"contin",587,55,2,4,5,5,1.600000024,-76,2301,0.170000002,1,"cincinnati"
"corning",1019,56,2,7,30,9,49.29999924,311,3259,0.680000007,1,"corning"
"cray",541,51,2,6,17,12,1,113,862,0.100000001,1,"minn"
"dayton",1571,53,1,8,31,9,4.199999809,301,16115,0.090000004,1,"temple"
"dow",1331,56,2,6,33,4,4.800000191,942,18807,0.029999999,0,"bulgaria"
"dqe",576,48,2,9,8,6,0.300000012,134,1199,0.02,1,"wantagh"
"duke",2847,62,1,1,37,10,3.599999905,584,3817,0.050000001,1,"charlo"
"echlin",643,65,1,3,29,23,8.899999619,44,1681,0.889999986,1,"stevens"
"eg&g",897,56,2,1,2,5,1,81,2689,0.07,1,"milwau"
"federal",1554,61,1,8,41,17,30.60000038,82,1435,2.230000019,1,"newyork"
"fifth",766,47,2,4,21,1,3.599999905,138,885,0.140000001,1,"cincinnati"
"first",439,64,2,9,39,35,43,29,492,14.68999958,1,"smithf"
"first h",1034,51,1,6,23,3,7,82,578,0.829999983,1,"honolu"
"fleet",1456,52,1,4,30,10,6,98,4439,0.170000002,1,"woonsocket"
"forest",401,64,2,5,15,15,20.60000038,47,228,1.659999967,1,"newyork"
"general",1158,50,2,3,4,4,1.200000048,54,1616,0.100000001,1,"toledo"
"glenfed",601,59,2,4,35,5,0.100000001,-85,1911,0.119999997,1,"hilt"
"grumman",635,59,2,1,33,2,0.800000012,99,3963,0.119999997,0,"batavia"
"hawaiian",447,50,2,9,5,1,0.300000012,54,1084,0.029999999,1,"oakland"
"hewlitt",1652,60,2,1,34,14,11.5,856,14949,0.059999999,1,"nampa"
"homed",1752,63,1,7,14,14,534.2000122,249,5137,3.99000001,1,"newyork"
"horace",804,55,0,0,15,10,10.60000038,25,657,1.75,NA,NA
"house",1144,60,2,9,37,10,6.900000095,150,4594,0.370000005,1,"newyork"
"houston",893,60,2,5,36,15,2,417,4444,0.039999999,1,"corpus"
"ich",1097,57,0,2,27,17,23.60000038,-8,1872,12.26000023,1,"mccrory"
"kroger",600,52,2,7,12,2,4.199999809,101,21351,0.25999999,1,"stlouis"
"lafarge",444,50,2,7,25,3,0.100000001,-50,1569,0.01,0,"australia"
"lonestar",425,74,1,9,3,3,0.100000001,6,475,0.07,1,"waxahachie"
"longisla",467,62,2,1,13,8,0.300000012,306,2549,0.01,1,"newyork"
"longs",427,54,1,8,31,15,71.40000153,55,2366,10.09000015,1,"oakland"
"manville",711,49,2,3,29,6,0.600000024,-13,2025,0.129999995,1,"crossett"
"mapco",1488,58,1,3,9,8,9.399999619,126,2643,0.560000002,1,"ponca"
"mariott",1630,60,1,7,36,20,132.5,82,8331,8.210000038,1,"wash dc"
"marshall",2342,71,1,4,46,34,9.600000381,99,835,0.829999983,1,"milwau"
"mccaw",155,42,1,7,26,12,373.6000061,-351,1366,7.510000229,1,"centralia"
"melville",1622,57,1,8,29,5,9.699999809,347,9886,0.189999998,1,"woonsocket"
"midlantic",574,52,2,4,1,1,0.100000001,-543,1987,0.01,1,"fairmont"
"minn",1031,55,1,1,35,1,3.599999905,1154,13340,0.02,0,"canada"
"morton",1671,63,2,9,17,12,5.5,143,1967,0.200000003,1,"laurel"
"nation",946,60,2,4,36,5,2.400000095,231,2588,0.090000004,1,"davenport"
"nystate",493,59,1,3,34,4,0.200000003,169,1556,0.01,1,"johnson"
"nike",688,54,2,9,28,28,1689,317,3277,34.04000092,1,"portland"
"nipsco",670,64,2,5,15,15,1.899999976,145,1535,0.119999997,1,"hammond"
"nordstrom",517,59,1,8,37,21,181,136,3180,6.699999809,1,"seattle"
"norfolk",2244,64,2,5,41,5,4,30,4451,0.039999999,1,"goldsboro"
"neutilities",616,51,2,1,16,9,0.300000012,237,2754,0.01,1,"vicsburg"
"nostates",889,56,2,1,5,5,0.699999988,224,2201,0.029999999,1,"pittsb"
"ohioedison",558,62,2,5,34,12,0.200000003,265,2359,0.01,1,"sandusky"
"owens",1207,61,1,7,35,2,2.400000095,-130,3575,0.159999996,1,"providence"
"pall",854,62,1,7,30,3,2.599999905,81,669,0.170000002,0,"england"
"parker",1032,63,2,3,35,8,2.200000048,46,2354,0.119999997,1,"cincinnati"
"peoples",357,54,2,5,20,1,0.5,71,1117,0.059999999,1,"greenbay"
"phelps",1377,56,1,1,32,3,5.300000191,273,2434,0.180000007,1,"oakland"
"phm",600,60,0,7,42,1,85.59999847,43,1214,17.65999985,1,"detroit"
"pinnacle",669,61,2,5,2,2,0.699999988,-187,1475,0.050000001,1,"phoenix"
"pittston",613,56,2,9,8,1,0.100000001,-29,1929,0.02,1,"boston"
"pnc",1341,55,2,4,30,7,2.099999905,390,4377,0.039999999,1,"pittsb"
"policy",1088,45,2,7,11,11,2.599999905,48,415,0.170000002,1,"greensb"
"potomac",621,60,2,1,36,3,0.899999976,210,1552,0.029999999,1,"harrison"
"ppg",1461,63,1,6,23,8,3.599999905,201,5673,0.050000001,1,"bayonne"
"riteaid",925,64,1,5,39,30,46.5,118,3670,2.519999981,1,"scranton"
"ryder",782,49,2,9,18,9,1.299999952,14,5061,0.07,1,"lasvegas"
"ryland",1187,55,2,8,2,1,3.099999905,10,1214,1.210000038,1,"stlouis"
"safeco",476,50,1,9,20,0.5,1.299999952,260,3148,0.050000001,0,"vancouver"
"safety",561,61,2,6,24,24,15.39999962,52,695,0.949999988,1,"chicago"
"saralee",4039,55,1,7,32,17,35.20000076,715,12651,0.289999992,1,"westpoing"
"scana",596,60,2,5,9,2,0.300000012,136,1148,0.02,1,"stmatthews"
"shawmut",772,53,2,4,29,6,2.599999905,-171,2344,0.219999999,0,"manchester"
"swair",462,61,2,5,25,11,16.79999924,27,1314,1.029999971,1,"camden"
"tambrands",514,57,2,4,3,3,4.099999905,79,661,0.170000002,0,"s africa"
"timewarner",3409,64,0,9,30,30,29.39999962,-99,12021,0.310000002,1,"newyork"
"tyco",4530,50,2,1,27,9,31.10000038,98,3077,1.809999943,1,"newyork"
"ual",2833,50,1,3,4,4,11.69999981,-332,11663,0.389999986,1,"oakland"
"ujb",1030,55,2,4,11,11,3.299999952,22,1236,0.430000007,1,"oklahoma"
"union",768,60,2,9,30,8,0.699999988,322,2097,0.02,1,"saltlake"
"ussurgical",2497,64,0,1,28,28,221.1000061,91,844,3.980000019,1,"newyork"
"usf&g",1561,50,2,9,2,2,0.5,-176,4134,0.059999999,1,"newyork"
"usx",1856,60,2,7,33,3,0.400000006,-507,4864,0.029999999,1,"cincinnati"
"viacon",1735,47,2,7,5,5,21.70000076,-47,1712,0.519999981,1,"newyork"
"washingpost",386,46,1,10,21,1,337.3999939,119,1380,12.98999977,1,"baltimore"
"westingh",684,62,2,1,36,2,0.800000012,-1086,12794,0.01,1,"sandyridge"
"wienergy",466,48,2,1,17,1,0.200000003,189,1539,0.01,1,"porthuron"
"wpl",307,47,2,9,14,2,0.200000003,65,649,0.02,1,"pittsb"
"zions",329,37,2,4,11,1,12.89999962,29,344,4.150000095,1,"saltlake"
