"","ID","Age.Cohort","Age","Gender","Expenditures","Ethnicity"
"502",55442,1,0,1,2532,"Asian"
"503",55877,3,15,1,4527,"Hispanic"
"504",55882,3,15,1,3055,"White"
"505",55958,5,32,2,40587,"White"
"506",56063,4,21,2,7488,"White"
"507",56109,4,20,1,9540,"White"
"508",56202,2,12,1,3003,"Hispanic"
"509",56203,4,19,1,7122,"Hispanic"
"510",56309,2,7,1,2191,"Hispanic"
"511",56318,6,68,2,57363,"Hispanic"
"512",56400,3,16,1,1641,"Hispanic"
"513",56533,5,26,2,37347,"White"
"514",56539,4,20,1,15278,"White"
"515",56552,4,20,1,11070,"White"
"516",56576,4,21,1,9805,"White"
"517",56592,6,88,2,54875,"Hispanic"
"518",56736,4,18,1,11054,"Other"
"519",56738,6,72,2,53834,"White"
"520",56802,5,29,1,42041,"Hispanic"
"521",56808,4,21,1,11202,"White"
"522",56855,6,64,1,60774,"White"
"523",57039,5,22,1,47954,"Hispanic"
"524",57141,5,23,2,36180,"White"
"525",57419,1,5,1,1632,"Hispanic"
"526",57420,2,6,2,3948,"Black"
"527",57504,4,19,1,12882,"White"
"528",57550,4,19,1,8700,"Asian"
"529",57601,4,19,2,11986,"Hispanic"
"530",57670,6,62,2,47420,"Hispanic"
"531",57874,3,17,2,4300,"Hispanic"
"532",57961,3,13,2,4787,"Hispanic"
"533",58075,2,12,1,2339,"Hispanic"
"534",58136,3,15,1,4345,"Hispanic"
"535",58293,3,14,1,4768,"White"
"536",58317,6,80,2,57821,"White"
"537",58357,4,20,1,9061,"Hispanic"
"538",58565,2,6,1,3530,"Asian"
"539",58680,4,21,2,4931,"Hispanic"
"540",58838,4,21,2,10385,"Asian"
"541",58862,3,17,2,3904,"White"
"542",58870,2,8,2,2590,"White"
"543",58884,5,34,1,41522,"Black"
"544",59001,5,27,1,40156,"White"
"545",59079,4,18,2,11479,"Hispanic"
"546",59154,3,15,1,4798,"Hispanic"
"547",59206,6,83,2,58803,"White"
"548",59275,4,21,2,16133,"White"
"549",59332,6,64,2,51599,"Asian"
"550",59343,5,26,1,45507,"White"
"551",59467,2,8,1,3544,"White"
"552",59660,2,9,1,1713,"Hispanic"
"553",59753,3,14,1,2462,"Hispanic"
"554",59881,4,19,2,11816,"White"
"555",60002,3,17,2,4531,"White"
"556",60018,5,35,1,36607,"White"
"557",60037,3,15,1,4884,"Hispanic"
"558",60292,3,14,2,4058,"Hispanic"
"559",60348,1,5,1,2019,"White"
"560",60352,2,7,1,3464,"Hispanic"
"561",60372,2,12,2,1539,"Hispanic"
"562",60425,3,16,2,5224,"White"
"563",60508,6,62,1,49075,"Asian"
"564",60572,6,69,2,59682,"White"
"565",60676,4,21,1,5066,"Hispanic"
"566",60864,4,20,2,5583,"Black"
"567",61004,1,4,1,456,"Hispanic"
"568",61019,1,0,1,1147,"Hispanic"
"569",61051,5,37,2,30627,"White"
"570",61120,2,7,2,3000,"Other"
"571",61187,2,11,2,2885,"Other"
"572",61192,4,20,2,6255,"Asian"
"573",61329,4,18,1,10068,"White"
"574",61449,3,14,2,5025,"Black"
"575",61467,1,1,1,2157,"Asian"
"576",61498,3,13,1,3726,"Other"
"577",61570,2,11,2,1286,"Hispanic"
"578",61588,5,24,1,47674,"White"
"579",61654,4,21,1,4731,"Hispanic"
"580",61680,3,16,2,3839,"White"
"581",61785,3,13,1,1195,"White"
"582",61806,5,24,1,46911,"Asian"
"583",61887,3,17,2,3629,"Hispanic"
"584",61944,6,52,1,48826,"White"
"585",61951,4,21,2,15718,"White"
"586",61954,4,19,1,5616,"Hispanic"
"587",62150,5,29,2,34708,"White"
"588",62191,3,17,2,3075,"Asian"
"589",62282,4,21,1,6669,"White"
"590",62302,5,23,2,39693,"White"
"591",62342,2,9,2,3552,"White"
"592",62485,5,23,1,27845,"Hispanic"
"593",62691,2,10,1,2409,"Hispanic"
"594",62913,2,8,1,2122,"White"
"595",62935,5,33,1,42458,"White"
"596",62957,5,22,2,40648,"White"
"597",63343,5,27,2,36712,"Asian"
"598",63363,5,22,2,31138,"White"
"599",63384,3,15,1,2917,"Asian"
"600",63810,6,68,2,43945,"White"
"601",63833,5,27,2,49793,"White"
"602",63959,4,20,1,10247,"Hispanic"
"603",63992,6,59,2,33110,"White"
"604",64041,2,6,1,1722,"White"
"605",64083,6,75,2,50261,"White"
"606",64181,2,8,2,2153,"Hispanic"
"607",64182,2,12,2,847,"Hispanic"
"608",64192,6,66,1,50910,"White"
"609",64319,4,20,2,11470,"Hispanic"
"610",64421,2,10,1,3584,"Black"
"611",64429,3,17,1,2722,"White"
"612",64820,6,63,2,48614,"White"
"613",64829,4,18,2,6991,"White"
"614",64899,3,16,1,3698,"Hispanic"
"615",65036,5,28,2,33278,"Asian"
"616",65255,6,54,1,50141,"Other"
"617",65274,1,5,1,2308,"Hispanic"
"618",65331,3,17,2,4527,"Hispanic"
"619",65394,2,6,1,1254,"Hispanic"
"620",65419,3,16,2,4017,"White"
"621",65431,6,53,2,53457,"White"
"622",65619,4,20,2,6829,"White"
"623",65675,2,10,2,1110,"Hispanic"
"624",65787,3,15,2,3423,"Hispanic"
"625",65901,2,12,2,1184,"Hispanic"
"626",65907,2,12,2,1854,"Black"
"627",66098,2,12,2,1689,"Hispanic"
"628",66116,4,18,2,10535,"Asian"
"629",66375,2,10,2,1560,"Hispanic"
"630",66446,4,18,2,6620,"Asian"
"631",66577,4,19,2,14729,"Hispanic"
"632",66734,5,23,1,40394,"White"
"633",66769,3,17,2,3520,"White"
"634",66818,4,19,1,14926,"Hispanic"
"635",66840,5,26,1,44588,"White"
"636",66841,6,52,2,39536,"White"
"637",67058,5,24,1,45735,"White"
"638",67230,2,11,1,2143,"Hispanic"
"639",67231,5,22,1,44002,"White"
"640",67248,4,18,2,8511,"Hispanic"
"641",67343,6,65,2,55442,"Black"
"642",67403,4,18,2,9846,"Asian"
"643",67408,5,23,2,49548,"Hispanic"
"644",67535,2,6,2,2493,"Hispanic"
"645",67616,4,20,1,13579,"Hispanic"
"646",67660,5,33,2,44765,"White"
"647",67740,5,39,2,36621,"Hispanic"
"648",67805,5,27,2,50301,"White"
"649",67978,5,27,1,32886,"Asian"
"650",68112,5,36,2,38400,"Black"
"651",68296,4,18,2,10299,"White"
"652",68353,5,25,2,34425,"White"
"653",68357,5,27,2,38331,"White"
"654",68378,2,11,2,2498,"Hispanic"
"655",68507,4,20,1,6771,"Asian"
"656",68570,4,20,2,12265,"Asian"
"657",68685,5,27,2,50353,"White"
"658",68697,3,16,1,2797,"Hispanic"
"659",68724,2,8,1,1733,"Black"
"660",68759,2,10,1,992,"White"
"661",68824,1,5,1,1339,"Asian"
"662",68830,2,8,2,1594,"Asian"
"663",68863,3,13,1,3332,"White"
"664",68944,3,13,2,4963,"Hispanic"
"665",68956,2,8,1,1417,"Hispanic"
"666",69156,4,18,1,10969,"White"
"667",69282,2,9,2,2643,"Hispanic"
"668",69499,4,20,2,10976,"Asian"
"669",69542,1,5,1,1053,"Other"
"670",69581,2,7,1,1903,"Hispanic"
"671",69608,3,16,2,2760,"Hispanic"
"672",69614,4,18,1,8567,"White"
"673",69616,4,21,1,12172,"White"
"674",69726,4,19,1,6690,"Hispanic"
"675",69933,4,19,1,11629,"Hispanic"
"676",70035,5,30,1,40727,"Other"
"677",70210,3,17,1,5055,"Hispanic"
"678",70230,3,17,2,3052,"White"
"679",70244,5,39,1,56716,"White"
"680",70290,3,15,2,3911,"Hispanic"
"681",70594,3,14,1,3060,"Asian"
"682",70609,4,18,2,3225,"Hispanic"
"683",70727,4,20,2,11242,"White"
"684",70807,3,17,2,4152,"Hispanic"
"685",70929,4,19,1,7805,"Hispanic"
"686",71045,3,15,2,3702,"Hispanic"
"687",71073,3,14,1,5062,"Other"
"688",71233,2,9,1,1690,"White"
"689",71271,5,27,1,39454,"Asian"
"690",71346,6,53,2,49380,"White"
"691",71422,4,20,1,16677,"Hispanic"
"692",71440,3,13,2,3395,"Hispanic"
"693",71526,6,65,1,54874,"White"
"694",71763,2,6,1,3099,"Hispanic"
"695",71846,3,17,1,3088,"Hispanic"
"696",71847,4,18,2,14221,"Hispanic"
"697",71928,4,20,2,12392,"Asian"
"698",71969,3,16,2,4166,"Black"
"699",72028,4,19,1,11032,"White"
"700",72101,5,34,2,40546,"White"
"701",72341,2,6,2,2597,"Asian"
"702",72365,4,19,2,11068,"White"
"703",72418,2,9,1,2634,"Hispanic"
"704",72424,5,34,1,45409,"Hispanic"
"705",72511,6,56,2,52618,"Black"
"706",72593,5,22,1,31853,"Black"
"707",72606,4,18,1,3829,"Hispanic"
"708",72613,4,21,1,7166,"White"
"709",72729,3,16,2,4615,"Other"
"710",72808,4,18,2,11282,"Asian"
"711",72893,3,16,1,3060,"Hispanic"
"712",72903,1,5,1,1702,"Hispanic"
"713",72982,4,21,2,6977,"Hispanic"
"714",73085,4,20,2,10898,"White"
"715",73176,3,13,2,3419,"Asian"
"716",73402,3,14,1,3633,"Hispanic"
"717",73569,4,18,1,12603,"Hispanic"
"718",73713,6,62,1,50219,"White"
"719",73750,2,8,2,2261,"Black"
"720",73758,2,6,2,3203,"Hispanic"
"721",73772,5,35,1,42329,"White"
"722",73907,2,8,1,1609,"Hispanic"
"723",74044,4,18,2,11176,"Hispanic"
"724",74146,4,19,1,8398,"White"
"725",74185,2,7,2,1728,"White"
"726",74272,4,19,2,11180,"Hispanic"
"727",74463,5,27,1,28581,"Asian"
"728",74521,2,12,2,1416,"Hispanic"
"729",74523,3,15,2,3677,"Hispanic"
"730",74683,3,15,2,4616,"White"
"731",74721,6,90,1,58392,"Other"
"732",74878,2,9,2,1661,"Hispanic"
"733",74891,1,5,1,1611,"Black"
"734",74906,4,21,2,9363,"White"
"735",74924,3,17,1,5347,"Hispanic"
"736",74925,3,14,1,4378,"Hispanic"
"737",74970,4,20,1,10815,"White"
"738",75037,2,10,1,2368,"White"
"739",75049,5,30,1,40572,"Hispanic"
"740",75122,6,72,1,50198,"White"
"741",75138,2,11,2,793,"Hispanic"
"742",75140,3,14,2,2551,"White"
"743",75193,4,19,1,8804,"White"
"744",75607,2,10,1,2865,"Hispanic"
"745",75696,1,3,1,1167,"Hispanic"
"746",75753,3,13,1,5098,"White"
"747",75806,3,15,2,5304,"Hispanic"
"748",75960,5,36,2,38246,"White"
"749",76011,2,12,2,1776,"Hispanic"
"750",76065,4,20,1,15711,"Hispanic"
"751",76344,2,12,2,3704,"Hispanic"
"752",76353,6,66,2,47006,"White"
"753",76461,3,13,2,4710,"Asian"
"754",76518,6,88,1,56415,"White"
"755",76533,4,18,2,11240,"White"
"756",76547,6,79,1,58469,"White"
"757",76701,3,14,2,4842,"White"
"758",76737,3,14,2,2701,"White"
"759",76776,6,90,1,57845,"White"
"760",76834,4,21,2,6482,"White"
"761",76865,4,20,2,9162,"Hispanic"
"762",76990,4,21,1,12552,"White"
"763",77021,5,32,2,30791,"White"
"764",77155,4,19,1,9341,"Hispanic"
"765",77193,5,30,2,48121,"Hispanic"
"766",77349,3,16,2,3047,"White"
"767",77450,4,18,2,3707,"Asian"
"768",77463,6,71,1,52421,"Asian"
"769",77587,4,18,1,18435,"Asian"
"770",77596,5,24,2,37367,"Hispanic"
"771",77607,3,15,1,4260,"Hispanic"
"772",77654,1,0,1,1458,"Hispanic"
"773",77715,4,20,2,12234,"Asian"
"774",77829,5,39,2,33259,"White"
"775",77916,2,6,1,1804,"Hispanic"
"776",77933,6,51,1,52105,"White"
"777",78026,2,10,1,1934,"Hispanic"
"778",78221,5,30,2,40268,"White"
"779",78254,5,23,2,37479,"Other"
"780",78364,6,75,1,65581,"Hispanic"
"781",78374,6,66,2,42160,"White"
"782",78383,2,7,1,3125,"Black"
"783",78532,4,21,1,7683,"Asian"
"784",78612,5,35,1,33070,"White"
"785",78803,5,32,2,32704,"White"
"786",79152,4,21,2,11491,"Black"
"787",79204,4,19,2,5303,"White"
"788",79379,5,25,1,46437,"Hispanic"
"789",79645,5,32,2,28205,"Other"
"790",79659,1,0,1,1704,"White"
"791",79711,5,31,2,33051,"White"
"792",79930,5,23,2,50542,"Asian"
"793",80142,5,27,2,37708,"Hispanic"
"794",80225,2,6,1,987,"Hispanic"
"795",80338,2,10,1,1590,"Hispanic"
"796",80426,4,19,1,15527,"White"
"797",80439,3,17,1,4496,"Hispanic"
"798",80464,4,20,1,13264,"Asian"
"799",80529,2,8,1,2459,"White"
"800",80534,6,71,2,58594,"Black"
"801",80636,4,21,2,13468,"Hispanic"
"802",80688,5,22,1,40240,"Asian"
"803",80955,2,11,2,2727,"White"
"804",81195,4,21,2,9923,"Asian"
"805",81203,5,37,2,41550,"White"
"806",81394,5,23,2,36521,"White"
"807",81488,2,11,1,1905,"Hispanic"
"808",81512,4,20,1,7237,"White"
"809",81530,5,22,2,28061,"Black"
"810",81669,5,24,1,42746,"White"
"811",81703,5,26,2,34915,"White"
"812",81816,4,18,1,7144,"White"
"813",81823,3,15,1,3251,"Hispanic"
"814",81913,5,30,2,42070,"Hispanic"
"815",81916,5,23,2,40159,"Hispanic"
"816",82022,5,22,2,37201,"White"
"817",82126,6,53,2,50176,"Hispanic"
"818",82186,2,7,2,1691,"Asian"
"819",82230,5,29,1,46356,"White"
"820",82254,5,33,2,38762,"White"
"821",82355,6,72,2,60808,"Black"
"822",82582,6,62,2,47709,"White"
"823",82743,4,18,1,10439,"Hispanic"
"824",82904,4,20,1,11810,"Hispanic"
"825",82928,5,31,2,34021,"Hispanic"
"826",83000,6,80,2,68890,"White"
"827",83149,6,70,2,50230,"Hispanic"
"828",83212,5,29,2,36658,"White"
"829",83224,6,73,2,51455,"White"
"830",83404,4,20,2,9932,"Hispanic"
"831",83443,4,20,1,11803,"Asian"
"832",83495,5,40,2,48064,"Asian"
"833",83771,3,13,1,4473,"White"
"834",83851,5,24,2,30803,"Asian"
"835",83897,5,32,1,37637,"White"
"836",83972,6,62,2,44111,"White"
"837",84259,4,18,2,8985,"White"
"838",84336,5,28,1,48968,"Asian"
"839",84362,2,6,2,2924,"Hispanic"
"840",84388,1,2,1,697,"Other"
"841",84436,5,24,1,37663,"Hispanic"
"842",84477,4,19,2,9675,"Black"
"843",84484,3,17,1,4216,"Asian"
"844",84737,3,14,1,5576,"White"
"845",84833,5,25,2,31943,"Hispanic"
"846",84949,2,7,1,2834,"Black"
"847",84996,2,12,2,1531,"White"
"848",85005,3,15,1,5254,"White"
"849",85129,5,23,2,44219,"White"
"850",85179,5,28,2,26178,"Hispanic"
"851",85261,3,14,1,3189,"White"
"852",85301,2,12,1,3732,"Hispanic"
"853",85491,5,23,2,25348,"Asian"
"854",85501,4,21,1,8957,"Hispanic"
"855",85633,3,14,1,5280,"Hispanic"
"856",85639,5,33,2,39010,"White"
"857",85741,5,41,1,49223,"White"
"858",85775,4,19,1,12243,"Asian"
"859",86019,5,25,2,40999,"Asian"
"860",86084,4,20,1,3749,"Hispanic"
"861",86328,2,9,1,1416,"Hispanic"
"862",86396,5,32,1,33630,"White"
"863",86416,5,26,2,33634,"Asian"
"864",86565,4,19,2,9760,"Hispanic"
"865",86579,5,42,1,51084,"Black"
"866",86599,2,11,2,1984,"White"
"867",86667,5,30,2,40927,"White"
"868",86893,5,39,1,31076,"White"
"869",87080,3,16,1,4915,"White"
"870",87143,3,17,1,3747,"Hispanic"
"871",87358,4,21,1,9700,"White"
"872",87444,3,14,1,1893,"Other"
"873",87697,3,17,1,4221,"Hispanic"
"874",87737,6,91,2,54481,"Asian"
"875",87869,2,10,1,3060,"Hispanic"
"876",87923,5,24,1,34274,"Asian"
"877",88118,4,19,1,12523,"Hispanic"
"878",88132,6,71,1,56365,"White"
"879",88276,1,4,1,1645,"Asian"
"880",88284,2,11,2,2839,"Hispanic"
"881",88508,2,8,1,3572,"White"
"882",88618,5,31,2,39172,"White"
"883",88739,2,8,1,1714,"Hispanic"
"884",88757,6,72,2,43957,"White"
"885",88930,6,62,1,58480,"White"
"886",89102,5,26,1,43109,"Black"
"887",89108,2,7,1,1875,"Hispanic"
"888",89124,6,63,2,50030,"White"
"889",89132,4,21,2,8707,"Hispanic"
"890",89286,2,8,1,2717,"Hispanic"
"891",89316,1,5,1,1684,"Hispanic"
"892",89334,4,20,2,7743,"White"
"893",89361,4,19,1,7475,"Asian"
"894",89611,2,9,2,2753,"White"
"895",89809,4,19,1,8820,"Asian"
"896",89925,4,19,1,5988,"Hispanic"
"897",90037,4,21,2,11327,"Black"
"898",90151,3,16,1,3702,"Hispanic"
"899",90220,3,13,1,3887,"Hispanic"
"900",90233,4,19,2,9979,"Asian"
"901",90239,4,18,1,13730,"Hispanic"
"902",90299,4,19,2,7570,"White"
"903",90432,5,27,1,35720,"White"
"904",90644,4,19,1,7061,"Black"
"905",90670,3,13,1,5546,"White"
"906",90814,3,16,2,3666,"White"
"907",90953,2,10,1,669,"Other"
"908",90996,5,29,1,40755,"White"
"909",91011,5,32,1,35435,"Hispanic"
"910",91064,4,21,2,6904,"Hispanic"
"911",91288,5,29,2,41268,"White"
"912",91383,2,12,2,1996,"White"
"913",91756,3,14,2,3703,"Hispanic"
"914",91766,2,7,1,2669,"White"
"915",91966,3,14,2,3319,"Hispanic"
"916",92055,3,17,1,3478,"Hispanic"
"917",92109,4,20,2,8359,"White"
"918",92198,3,17,2,4791,"Hispanic"
"919",92207,2,6,2,1898,"Hispanic"
"920",92215,2,9,1,2632,"White"
"921",92265,5,32,1,43662,"White"
"922",92381,2,11,1,620,"White"
"923",92494,6,73,1,49088,"White"
"924",92628,5,33,2,40517,"Hispanic"
"925",92700,1,4,1,2543,"White"
"926",92718,2,6,2,1997,"Hispanic"
"927",92766,2,8,1,1189,"Hispanic"
"928",92789,5,25,2,39849,"White"
"929",93080,5,23,2,48349,"White"
"930",93118,3,16,2,4031,"Asian"
"931",93194,2,8,2,2623,"Asian"
"932",93415,5,22,1,50795,"White"
"933",93495,2,10,1,2484,"Hispanic"
"934",93600,5,31,2,39577,"White"
"935",93628,2,6,2,3259,"Other"
"936",93673,4,18,2,9080,"Asian"
"937",93702,5,27,1,44293,"Asian"
"938",93727,1,4,1,1219,"Asian"
"939",93757,4,18,1,10298,"White"
"940",93763,2,8,2,2430,"Hispanic"
"941",93871,3,14,1,3792,"Hispanic"
"942",94072,2,11,1,1360,"White"
"943",94273,3,15,2,3099,"Asian"
"944",94371,5,30,2,51486,"White"
"945",94442,2,11,2,2212,"Hispanic"
"946",94480,3,17,1,5183,"Black"
"947",94503,1,0,2,1360,"Hispanic"
"948",94540,5,25,1,40952,"White"
"949",94595,1,4,1,2335,"Other"
"950",94648,5,40,1,43175,"White"
"951",94785,3,14,2,4680,"Hispanic"
"952",94819,4,20,1,14003,"Hispanic"
"953",94852,1,3,1,1485,"Hispanic"
"954",95110,5,29,2,43048,"White"
"955",95270,5,38,2,29709,"White"
"956",95313,6,79,1,57497,"Asian"
"957",95673,6,60,1,62717,"Hispanic"
"958",95812,5,38,1,37378,"Hispanic"
"959",95861,4,18,2,12651,"Asian"
"960",96081,3,16,1,2104,"Hispanic"
"961",96097,1,5,1,222,"Hispanic"
"962",96188,5,23,2,42560,"Asian"
"963",96258,5,29,2,40614,"Asian"
"964",96279,1,5,1,1003,"Hispanic"
"965",96367,5,26,2,36440,"Hispanic"
"966",96426,2,9,2,2544,"White"
"967",96466,3,17,1,5241,"Hispanic"
"968",96684,3,14,2,3524,"White"
"969",96739,5,30,1,40125,"White"
"970",96746,2,10,2,3382,"Asian"
"971",96840,6,51,1,48622,"White"
"972",96974,3,17,1,5276,"White"
"973",97057,5,41,2,50202,"White"
"974",97122,5,44,2,46144,"Hispanic"
"975",97211,1,5,1,240,"Black"
"976",97268,5,23,2,35016,"White"
"977",97316,6,75,1,55956,"White"
"978",97426,1,1,1,2359,"Other"
"979",97793,2,9,1,1048,"Other"
"980",97930,6,69,1,53561,"White"
"981",98015,5,46,2,52222,"Hispanic"
"982",98235,5,28,2,29588,"Hispanic"
"983",98268,4,18,1,10393,"White"
"984",98269,5,38,2,54191,"White"
"985",98382,6,54,1,46312,"White"
"986",98428,5,24,2,49449,"Asian"
"987",98522,3,13,1,3097,"White"
"988",98547,3,13,1,3392,"White"
"989",98562,3,15,1,3641,"Hispanic"
"990",98683,2,8,2,2441,"Hispanic"
"991",98792,1,5,2,1411,"Hispanic"
"992",99046,5,30,1,35231,"White"
"993",99114,4,18,2,5298,"Hispanic"
"994",99147,4,20,2,7288,"Asian"
"995",99529,1,2,2,2258,"Other"
"996",99622,6,86,1,57055,"White"
"997",99715,4,20,2,7494,"Hispanic"
"998",99718,3,17,1,3673,"Other"
"999",99791,2,10,2,3638,"Hispanic"
"1000",99898,5,23,2,26702,"White"
